Document Index (generated),Number of Records,Member Follower Number,Member Helpful Votes,Member Id,Member Job,Member Name,Member Type,Member Workplace
67359,1,0,0,93085,,farrah22,Contributor,
67360,1,0,0,93086,,toniandsteve,Contributor,
67361,1,0,0,93087,,sbandy716,Contributor,
67362,1,0,0,93088,,Katiepryor,Contributor,
67363,1,0,0,93089,,KButler3874,Contributor,
67364,1,0,0,93090,,flawless1488,Contributor,
67365,1,0,0,93091,,Petergendy,Contributor,
67366,1,0,0,93092,,p0psicle,Contributor,
67367,1,0,2,93093,,ocean26,Contributor,
67368,1,0,0,93094,,ps123,Contributor,
67369,1,0,0,93095,,mvmbaseball,Contributor,
67370,1,0,0,93096,,hillsey,Contributor,
67371,1,0,0,93097,,Lipitor,Contributor,
67372,1,0,0,93098,,James1979,Contributor,
67373,1,0,0,93099,,RobertaMcLeod,Contributor,
67374,1,0,0,93100,,Miss_Tiff85,Contributor,
67375,1,0,19,93101,,sirrush42,Contributor,
67376,1,0,0,93102,,michelledawn1,Contributor,
67377,1,0,0,93103,,doeWilborn,Contributor,
67378,1,0,0,93104,,Abbeyss3,Contributor,
67379,1,0,0,93105,,spaula42,Contributor,
67380,1,0,0,93106,,PeppySenior,Contributor,
67381,1,0,0,93107,,coolbhatt,Contributor,
67382,1,0,0,93108,,boys4mom,Contributor,
67383,1,0,0,93109,,siniane,Contributor,
67384,1,0,0,93110,,carmen_media,Contributor,
67385,1,0,2,93111,,butterflybelly,Contributor,
67386,1,0,0,93112,,LauraW73,Contributor,
67387,1,0,0,93113,,Pahawk,Contributor,
67388,1,0,0,93114,,Prizm2000,Contributor,
67389,1,0,0,93115,,Redoz,Contributor,
67390,1,0,0,93116,,Spooky1824,Contributor,
67391,1,0,0,93117,,Khaleesi12,Contributor,
67392,1,0,0,93118,,sjssyndi,Contributor,
67393,1,0,0,93119,,mctink,Contributor,
67394,1,0,0,93120,,CBenn7630,Contributor,
67395,1,0,0,93121,,justwannaknow,Contributor,
67396,1,0,1822,93122,,13ahrw,Contributor,
67397,1,0,0,93123,,jdwightd,Contributor,
67398,1,0,0,93124,,Kimmy1971,Contributor,
67399,1,0,0,93125,,bloomhaven,Contributor,
67400,1,0,0,93126,,clown123,Contributor,
67401,1,0,0,93127,,JLoach10,Contributor,
67402,1,0,0,93128,,ericmt70,Contributor,
67403,1,0,0,93129,,shelljoy,Contributor,
67404,1,0,0,93130,,taliesyn52,Contributor,
67405,1,0,0,93131,,dana0704,Contributor,
67406,1,0,0,93132,,MommyD1,Contributor,
67407,1,0,0,93133,,HeavinRay,Contributor,
67408,1,0,0,93134,,Grumpy347,Contributor,
67409,1,0,0,93135,,mld6757,Contributor,
67410,1,0,0,93136,,JWRFAR,Contributor,
67411,1,0,0,93137,,BSlezak,Contributor,
67412,1,0,0,93138,,hotchkiss,Contributor,
67413,1,0,0,93139,,rockashley1217101085,Contributor,
67414,1,0,0,93140,,etisewer,Contributor,
67415,1,0,0,93141,,WaterChild,Contributor,
67416,1,0,0,93142,,3footballboys,Contributor,
67417,1,0,0,93143,,sstarsa,Contributor,
67418,1,0,0,93144,,coolajv,Contributor,
67419,1,0,0,93145,,swert,Contributor,
67420,1,0,0,93146,,pamelaJ62,Contributor,
67421,1,0,0,93147,,desirea2329,Contributor,
67422,1,0,0,93148,,crazyinmi,Contributor,
67423,1,0,0,93149,,dyockel,Contributor,
67424,1,0,0,93150,,betterhalf,Contributor,
67425,1,0,0,93151,,Paula1956,Contributor,
67426,1,0,0,93152,,bigdave1976,Contributor,
67427,1,0,0,93153,,Batcrazy21,Contributor,
67428,1,0,0,93154,,13579normarl,Contributor,
67429,1,0,0,93155,,Mistyblue300,Contributor,
67430,1,0,0,93156,,lostbaby080306,Contributor,
67431,1,0,0,93157,,mbowles30093,Contributor,
67432,1,0,0,93158,,Anirudhthiduck,Contributor,
67433,1,0,0,93159,,jadecwilson20,Contributor,
67434,1,0,11,93160,,notquiteright,Contributor,
67435,1,0,0,93161,,koshu,Contributor,
67436,1,0,0,93162,,fay68,Contributor,
67437,1,0,0,93163,,DEBRAHF,Contributor,
67438,1,0,0,93164,,Joeytheguy,Contributor,
67439,1,0,0,93165,,purpleman,Contributor,
67440,1,0,0,93166,,dailytreker,Contributor,
67441,1,0,0,93167,,memec106,Contributor,
67442,1,0,0,93168,,Vickie163,Contributor,
67443,1,0,0,93169,,candicebailey1,Contributor,
67444,1,0,0,93170,,Trehugger,Contributor,
67445,1,0,0,93171,,mydog2,Contributor,
67446,1,0,0,93172,,Medicalinfo2013,Contributor,
67447,1,0,0,93173,,woray30,Contributor,
67448,1,0,0,93174,,quiver5,Contributor,
67449,1,0,0,93175,,dwaynenelson,Contributor,
67450,1,0,0,93176,,ewkerr72,Contributor,
67451,1,0,0,93177,,tiffanyann1988,Contributor,
67452,1,0,0,93178,,shingles,Contributor,
67453,1,0,0,93179,,EdGurrola,Contributor,
67454,1,0,0,93180,,michelleishealthy,Contributor,
67455,1,0,0,93181,,Jenkw,Contributor,
67456,1,0,0,93182,,jolinnie,Contributor,
67457,1,0,0,93183,,zahi08,Contributor,
67458,1,0,0,93184,,Emily246,Contributor,
67459,1,0,0,93185,,LuaSouthard,Contributor,
67460,1,0,0,93186,,hiramughal110,Contributor,
67461,1,0,0,93187,,naomiama,Contributor,
67462,1,0,0,93188,,DAMoody,Contributor,
67463,1,0,0,93189,,csalazar_08,Contributor,
67464,1,0,0,93190,,Boechel55,Contributor,
67465,1,0,0,93191,,BrianaS13,Contributor,
67466,1,0,0,93192,,QuitaB,Contributor,
67467,1,0,0,93193,,WarpCat,Contributor,
67468,1,0,0,93194,,Jsanders421,Contributor,
67469,1,0,0,93195,,arogyam,Contributor,
67470,1,0,0,93196,,jasperzfolkz,Contributor,
67471,1,0,0,93197,,PollyWeaver,Contributor,
67472,1,0,0,93198,,shagt,Contributor,
67473,1,0,0,93199,,anarrod,Contributor,
67474,1,0,0,93200,,Taylor254,Contributor,
67475,1,0,0,93201,,jellington07,Contributor,
67476,1,0,0,93202,,stacyloowho1,Contributor,
67477,1,0,0,93203,,dlstressed,Contributor,
67478,1,0,0,93204,,dejaboo25,Contributor,
67479,1,0,0,93205,,lloydklefstad1,Contributor,
67480,1,0,0,93206,,LadyBug83132,Contributor,
67481,1,0,0,93207,,JJL52,Contributor,
67482,1,0,0,93208,,debbie101112,Contributor,
67483,1,0,0,93209,,mothergodess0,Contributor,
67484,1,0,0,93210,,lexiecheer2012,Contributor,
67485,1,0,0,93211,,Babysince2012,Contributor,
67486,1,0,0,93212,,sally39,Contributor,
67487,1,0,0,93213,,Acaciadoty,Contributor,
67488,1,0,0,93214,,KDot_,Contributor,
67489,1,0,0,93215,,powersmarko,Contributor,
67490,1,0,2,93216,,LiveHealthy01,Contributor,
67491,1,0,0,93217,,acer19,Contributor,
67492,1,0,0,93218,,mariposa2222,Contributor,
67493,1,0,0,93219,,Oksanabc,Contributor,
67494,1,0,0,93220,,Pmaciel,Contributor,
67495,1,0,0,93221,,isis2186,Contributor,
67496,1,0,0,93222,,begas,Contributor,
67497,1,0,0,93223,,ggnadkarni,Contributor,
67498,1,0,0,93224,,John45C,Contributor,
67499,1,0,0,93225,,sugarbare2,Contributor,
67500,1,0,0,93226,,rctxk86,Contributor,
67501,1,0,0,93227,,catholic68,Contributor,
67502,1,0,0,93228,,Believertoo,Contributor,
67503,1,0,0,93229,,rachf825,Contributor,
67504,1,0,0,93230,,MiLeeLo,Contributor,
67505,1,0,0,93231,,Mandy1222,Contributor,
67506,1,0,0,93232,,cuttersgirl82,Contributor,
67507,1,0,0,93233,,glennfeltes,Contributor,
67508,1,0,0,93234,,kidspeech,Contributor,
67509,1,0,0,93235,,DevC12,Contributor,
67510,1,0,0,93236,,Sykora80,Contributor,
67511,1,0,0,93237,,DEAWER,Contributor,
67512,1,0,0,93238,,singingfrizzle,Contributor,
67513,1,0,3,93239,,deepanshumunjal,Contributor,
67514,1,0,0,93240,,BlueEyesSeeMore,Contributor,
67515,1,0,0,93241,,K_Rise,Contributor,
67516,1,0,0,93242,,williams1120,Contributor,
67517,1,0,0,93243,,lindakay63,Contributor,
67518,1,0,0,93244,,strawberry396,Contributor,
67519,1,0,0,93245,,simham,Contributor,
67520,1,0,0,93246,,Mike23608,Contributor,
67521,1,0,0,93247,,christinacb,Contributor,
67522,1,0,1,93248,,rebella2,Contributor,
67523,1,0,0,93249,,feder,Contributor,
67524,1,0,0,93250,,jamingstrum,Contributor,
67525,1,0,0,93251,,Tallblueyes,Contributor,
67526,1,0,0,93252,,nobwan,Contributor,
67527,1,0,0,93253,,Litltab,Contributor,
67528,1,0,0,93254,,caringmama,Contributor,
67529,1,0,0,93255,,kamonerasai,Contributor,
67530,1,0,0,93256,,khinhnin,Contributor,
67531,1,0,0,93257,,fida2013,Contributor,
67532,1,0,0,93258,,toby134,Contributor,
67533,1,0,0,93259,,BLANCO246,Contributor,
67534,1,0,0,93260,,jerseybounce,Contributor,
67535,1,0,0,93261,,sarahcraig,Contributor,
67536,1,0,0,93262,,BubbaW,Contributor,
67537,1,0,0,93263,,rickstevo,Contributor,
67538,1,0,0,93264,,19rocky69,Contributor,
67539,1,0,0,93265,,Jet6786,Contributor,
67540,1,0,0,93266,,virge526,Contributor,
67541,1,0,0,93267,,goodgirl65,Contributor,
67542,1,0,0,93268,,150forme,Contributor,
67543,1,0,0,93269,,mel_danielle15,Contributor,
67544,1,0,0,93270,,Daisy3933,Contributor,
67545,1,0,0,93271,,Angie111,Contributor,
67546,1,0,0,93272,,LIDEBRAS,Contributor,
67547,1,0,0,93273,,Cray01,Contributor,
67548,1,0,0,93274,,kkdarr,Contributor,
67549,1,0,0,93275,,Janessa0225,Contributor,
67550,1,0,0,93276,,familydad,Contributor,
67551,1,0,0,93277,,ssg1125,Contributor,
67552,1,0,0,93278,,Josh678,Contributor,
67553,1,0,0,93279,,AlwaysWorrying,Contributor,
67554,1,0,0,93280,,JONIMZ,Contributor,
67555,1,0,0,93281,,liztv2,Contributor,
67556,1,0,0,93282,,joyce1golds,Contributor,
67557,1,0,0,93283,,rosadivine,Contributor,
67558,1,0,0,93284,,mcarria,Contributor,
67559,1,0,0,93285,,LacieDiane,Contributor,
67560,1,0,0,93286,,mcw3344,Contributor,
67561,1,0,6,93287,,kimmax,Contributor,
67562,1,0,0,93288,,najjarva,Contributor,
67563,1,0,0,93289,,anuradha1942,Contributor,
67564,1,0,0,93290,,joellarodgers,Contributor,
67565,1,0,0,93291,,jadonald,Contributor,
67566,1,0,0,93292,,whatevere,Contributor,
67567,1,0,10,93293,,Jadedu,Contributor,
67568,1,0,0,93294,,CHIP7177,Contributor,
67569,1,0,0,93295,,chammel36,Contributor,
67570,1,0,0,93296,,buckhenry6385,Contributor,
67571,1,0,0,93297,,maskot,Contributor,
67572,1,0,0,93298,,fitfrk,Contributor,
67573,1,0,0,93299,,NataliaMcAfee,Contributor,
67574,1,0,0,93300,,justdecent101,Contributor,
67575,1,0,0,93301,,annina89,Contributor,
67576,1,0,0,93302,,bambam91,Contributor,
67577,1,0,0,93303,,tall73,Contributor,
67578,1,0,0,93304,,Gin0710,Contributor,
67579,1,0,0,93305,,ramanmathur,Contributor,
67580,1,0,0,93306,,cokesis,Contributor,
67581,1,0,0,93307,,hashemnaim,Contributor,
67582,1,0,0,93308,,pharmocist2,Contributor,
67583,1,0,0,93309,,JTKT11,Contributor,
67584,1,0,0,93310,,lenamarieez,Contributor,
67585,1,0,0,93311,,wranglerintexas,Contributor,
67586,1,0,0,93312,,rmr007,Contributor,
67587,1,0,0,93313,,Lakesidemama1,Contributor,
67588,1,0,0,93314,,caoconnor,Contributor,
67589,1,0,0,93315,,MegEp64,Contributor,
67590,1,0,0,93316,,curious117,Contributor,
67591,1,0,0,93317,,tamaru,Contributor,
67592,1,0,0,93318,,JJRE89,Contributor,
67593,1,0,0,93319,,maree1,Contributor,
67594,1,0,2,93320,,lisaferguson,Contributor,
67595,1,0,0,93321,,jaxklein,Contributor,
67596,1,0,0,93322,,kmommie,Contributor,
67597,1,0,0,93323,,OldArmyMom,Contributor,
67598,1,0,0,93324,,TBeirne,Contributor,
67599,1,0,0,93325,,stacylauborough,Contributor,
67600,1,0,0,93326,,gt2012,Contributor,
67601,1,0,0,93327,,kvsg1962,Contributor,
67602,1,0,0,93328,,helenmae120,Contributor,
67603,1,0,0,93329,,nikkiathompson265,Contributor,
67604,1,0,0,93330,,Karenfocew,Contributor,
67605,1,0,0,93331,,catned,Contributor,
67606,1,0,0,93332,,christyrm1,Contributor,
67607,1,0,0,93333,,kymillion,Contributor,
67608,1,0,0,93334,,okiokioki888,Contributor,
67609,1,0,0,93335,,sljones819,Contributor,
67610,1,0,0,93336,,rakmo22,Contributor,
67611,1,0,0,93337,,Nikki284,Contributor,
67612,1,0,0,93338,,Dom1020,Contributor,
67613,1,0,0,93339,,lorilee312,Contributor,
67614,1,0,0,93340,,HWB78,Contributor,
67615,1,0,0,93341,,Bettymartinez27,Contributor,
67616,1,0,0,93342,,Telly1980,Contributor,
67617,1,0,0,93343,,aprilsanders27,Contributor,
67618,1,0,0,93344,,cochala37,Contributor,
67619,1,0,0,93345,,99Mcd9999,Contributor,
67620,1,0,0,93346,,peguinhappyfeet,Contributor,
67621,1,0,0,93347,,DONNABARBOUR,Contributor,
67622,1,0,0,93348,,LoisMaryWatts,Contributor,
67623,1,0,0,93349,,torticollis,Contributor,
67624,1,0,0,93350,,calonzo1,Contributor,
67625,1,0,0,93351,,Logogonzalesl,Contributor,
67626,1,0,0,93352,,ladysmithv,Contributor,
67627,1,0,0,93353,,ramona65,Contributor,
67628,1,0,0,93354,,jmcgreevy,Contributor,
67629,1,0,0,93355,,shelbymootz,Contributor,
67630,1,0,0,93356,,Nigeldelivered,Contributor,
67631,1,0,0,93357,,ncfoodguy,Contributor,
67632,1,0,0,93358,,richardeee,Contributor,
67633,1,0,0,93359,,brisrod,Contributor,
67634,1,0,0,93360,,j5cke,Contributor,
67635,1,0,0,93361,,zeroputts,Contributor,
67636,1,0,0,93362,,alinberg76,Contributor,
67637,1,0,0,93363,,07271982,Contributor,
67638,1,0,0,93364,,aew1987,Contributor,
67639,1,0,0,93365,,KirstenElston,Contributor,
67640,1,0,0,93366,,sixshooter1963,Contributor,
67641,1,0,0,93367,,pompretty,Contributor,
67642,1,0,0,93368,,Barbie623,Contributor,
67643,1,0,0,93369,,crazytoo,Contributor,
67644,1,0,0,93370,,JC0624,Contributor,
67645,1,0,0,93371,,lrobichaud,Contributor,
67646,1,0,0,93372,,lobell2,Contributor,
67647,1,0,0,93373,,nitajean68,Contributor,
67648,1,0,0,93374,,JamillaSeyni,Contributor,
67649,1,0,0,93375,,Hambric2,Contributor,
67650,1,0,9,93376,,cmessi,Contributor,
67651,1,0,0,93377,,dazzedd,Contributor,
67652,1,0,0,93378,,maureen1950,Contributor,
67653,1,0,0,93379,,cuteandtiny,Contributor,
67654,1,0,0,93380,,taschmidt,Contributor,
67655,1,0,0,93381,,sandman55,Contributor,
67656,1,0,0,93382,,msbonnielynn,Contributor,
67657,1,0,0,93383,,bigmikem1949,Contributor,
67658,1,0,0,93384,,flht98,Contributor,
67659,1,0,0,93385,,MythMaker64,Contributor,
67660,1,0,0,93386,,ptmarzullo,Contributor,
67661,1,0,0,93387,,jesseco,Contributor,
67662,1,0,0,93388,,Lange2,Contributor,
67663,1,0,0,93389,,steve6513,Contributor,
67664,1,0,0,93390,,Rose714,Contributor,
67665,1,0,0,93391,,brit2ny,Contributor,
67666,1,0,0,93392,,mx4moss,Contributor,
67667,1,0,0,93393,,Dansmom2003,Contributor,
67668,1,0,0,93394,,skrlja,Contributor,
67669,1,0,0,93395,,romanwahab,Contributor,
67670,1,0,0,93396,,cmeeder,Contributor,
67671,1,0,0,93397,,amir6,Contributor,
67672,1,0,0,93398,,SaWilli,Contributor,
67673,1,0,0,93399,,thet202,Contributor,
67674,1,0,0,93400,,CarolynFaver,Contributor,
67675,1,0,0,93401,,dptydawg,Contributor,
67676,1,0,0,93402,,AnonymousGirl55,Contributor,
67677,1,0,0,93403,,nels77,Contributor,
67678,1,0,0,93404,,titans85,Contributor,
67679,1,0,0,93405,,jackeperry1,Contributor,
67680,1,0,0,93406,,61hugskisses,Contributor,
67681,1,0,0,93407,,Dgscott,Contributor,
67682,1,0,0,93408,,oranhomecare,Contributor,
67683,1,0,0,93409,,s1weet,Contributor,
67684,1,0,0,93410,,lauzieretta,Contributor,
67685,1,0,0,93411,,Sahota60,Contributor,
67686,1,0,0,93412,,saba67,Contributor,
67687,1,0,0,93413,,gilletteisdebi,Contributor,
67688,1,0,0,93414,,Timoteo,Contributor,
67689,1,0,1,93415,,universe9,Contributor,
67690,1,0,0,93416,,veldkind,Contributor,
67691,1,0,0,93417,,jilly9023,Contributor,
67692,1,0,0,93418,,nquijote,Contributor,
67693,1,0,0,93419,,vickiebp,Contributor,
67694,1,0,0,93420,,easysteet,Contributor,
67695,1,0,0,93421,,mr2580,Contributor,
67696,1,0,0,93422,,jojo_30,Contributor,
67697,1,0,0,93423,,skinnypenny1957,Contributor,
67698,1,0,0,93424,,Gibsongirl65,Contributor,
67699,1,0,0,93425,,HeavenSentBlessed,Contributor,
67700,1,0,0,93426,,npete01,Contributor,
67701,1,0,0,93427,,depressedone,Contributor,
67702,1,0,0,93428,,gumper,Contributor,
67703,1,0,0,93429,,ErinMary,Contributor,
67704,1,0,0,93430,,debboo1973,Contributor,
67705,1,0,0,93431,,sholmes6,Contributor,
67706,1,0,0,93432,,squealor,Contributor,
67707,1,0,1,93433,,Kamala45,Contributor,
67708,1,0,0,93434,,Beckyau,Contributor,
67709,1,0,0,93435,,needhelp77,Contributor,
67710,1,0,0,93436,,lpb24,Contributor,
67711,1,0,0,93437,,VanRiverBoy,Contributor,
67712,1,0,0,93438,,leefeed,Contributor,
67713,1,0,0,93439,,Norwegianwitch,Contributor,
67714,1,0,0,93440,,mel061770,Contributor,
67715,1,0,0,93441,,prodiver,Contributor,
67716,1,0,0,93442,,mickeyAikens,Contributor,
67717,1,0,0,93443,,grandmam58,Contributor,
67718,1,0,0,93444,,maisymaeb,Contributor,
67719,1,0,0,93445,,qatest_1112,Contributor,
67720,1,0,0,93446,,h1911,Contributor,
67721,1,0,0,93447,,Angelpruitt,Contributor,
67722,1,0,0,93448,,onecory,Contributor,
67723,1,0,0,93449,,lewiskimberlyn,Contributor,
67724,1,0,0,93450,,mccl0296,Contributor,
67725,1,0,0,93451,,hockadaylinda,Contributor,
67726,1,0,0,93452,,Brown_sugar,Contributor,
67727,1,0,0,93453,,Geeman123,Contributor,
67728,1,0,0,93454,,sbw05310,Contributor,
67729,1,0,0,93455,,JKRicketts,Contributor,
67730,1,0,0,93456,,mickeyh69,Contributor,
67731,1,0,2,93457,,JoelD11,Contributor,
67732,1,0,0,93458,,jendawson07,Contributor,
67733,1,0,0,93459,,amy1970,Contributor,
67734,1,0,0,93460,,nani3now,Contributor,
67735,1,0,0,93461,,blbeattie,Contributor,
67736,1,0,0,93462,,Carpenterprise,Contributor,
67737,1,0,0,93463,,SMKKDK,Contributor,
67738,1,0,0,93464,,tippy76,Contributor,
67739,1,0,0,93465,,RowanE,Contributor,
67740,1,0,0,93466,,ginambleau40,Contributor,
67741,1,0,0,93467,,ogadner11,Contributor,
67742,1,0,0,93468,,picaluca,Contributor,
67743,1,0,0,93469,,rrpcap612,Contributor,
67744,1,0,0,93470,,Dalila21504,Contributor,
67745,1,0,0,93471,,Stacy100,Contributor,
67746,1,0,0,93472,,cindigar,Contributor,
67747,1,0,0,93473,,whatshouldido,Contributor,
67748,1,0,2,93474,,jcsgnajj,Contributor,
67749,1,0,0,93475,,Maid4U,Contributor,
67750,1,0,0,93476,,Krissy_84,Contributor,
67751,1,0,0,93477,,dc302,Contributor,
67752,1,0,0,93478,,freeman1231,Contributor,
67753,1,0,0,93479,,GrandmaReesie,Contributor,
67754,1,0,0,93480,,swadezze,Contributor,
67755,1,0,0,93481,,No1Gammy,Contributor,
67756,1,0,0,93482,,kingjosh35,Contributor,
67757,1,0,0,93483,,jdor0428,Contributor,
67758,1,0,0,93484,,Paxx11,Contributor,
67759,1,0,0,93485,,Capscrazed19,Contributor,
67760,1,0,0,93486,,Bowhunter522,Contributor,
67761,1,0,0,93487,,jndconsdin,Contributor,
67762,1,0,0,93488,,flourish,Contributor,
67763,1,0,0,93489,,FrankenbergC,Contributor,
67764,1,0,0,93490,,paintinggirl,Contributor,
67765,1,0,0,93491,,newmommy1083,Contributor,
67766,1,0,0,93492,,barbaraallison10,Contributor,
67767,1,0,0,93493,,MelissaKW,Contributor,
67768,1,0,0,93494,,mrsrma,Contributor,
67769,1,0,0,93495,,paulastevens,Contributor,
67770,1,0,0,93496,,Samwarren7474,Contributor,
67771,1,0,0,93497,,john109,Contributor,
67772,1,0,0,93498,,ybucs,Contributor,
67773,1,0,0,93499,,Theresa39452,Contributor,
67774,1,0,2,93500,,Wellmindedcenter,Contributor,
67775,1,0,0,93501,,IamBatman,Contributor,
67776,1,0,0,93502,,David210270,Contributor,
67777,1,0,0,93503,,kacoppage,Contributor,
67778,1,0,0,93504,,SouthernLady13,Contributor,
67779,1,0,0,93505,,WhiteLight50,Contributor,
67780,1,0,0,93506,,kmae22,Contributor,
67781,1,0,0,93507,,Shinytish,Contributor,
67782,1,0,0,93508,,MHALL446,Contributor,
67783,1,0,0,93509,,Trett44,Contributor,
67784,1,0,0,93510,,brandymc4007,Contributor,
67785,1,0,0,93511,,AnthonyAteek,Contributor,
67786,1,0,0,93512,,sadeblois84,Contributor,
67787,1,0,0,93513,,garlamojo,Contributor,
67788,1,0,0,93514,,Ldiane60,Contributor,
67789,1,0,0,93515,,hollynicole12,Contributor,
67790,1,0,0,93516,,saidie3,Contributor,
67791,1,0,0,93517,,Steph1947,Contributor,
67792,1,0,0,93518,,RogerW,Contributor,
67793,1,0,0,93519,,karen37,Contributor,
67794,1,0,0,93520,,Kioleter,Contributor,
67795,1,0,0,93521,,NewlyWed13,Contributor,
67796,1,0,0,93522,,MichalIL,Contributor,
67797,1,0,0,93523,,bear1004,Contributor,
67798,1,0,0,93524,,MimiVick,Contributor,
67799,1,0,0,93525,,AMBEESMOM,Contributor,
67800,1,0,0,93526,,barakohbama,Contributor,
67801,1,0,0,93527,,CristinaL,Contributor,
67802,1,0,0,93528,,wgm1029,Contributor,
67803,1,0,0,93529,,bookwoman40,Contributor,
67804,1,0,0,93530,,SGRAEB,Contributor,
67805,1,0,0,93531,,NMS7787,Contributor,
67806,1,0,0,93532,,GrandmaChar13,Contributor,
67807,1,0,0,93533,,haveahart69,Contributor,
67808,1,0,0,93534,,Lindsaykaybeeks,Contributor,
67809,1,0,0,93535,,anitac13,Contributor,
67810,1,0,0,93536,,Savedbygracealone,Contributor,
67811,1,0,0,93537,,Irbycon,Contributor,
67812,1,0,0,93538,,69grandma,Contributor,
67813,1,0,0,93539,,slbisback,Contributor,
67814,1,0,0,93540,,Nicsteve7,Contributor,
67815,1,0,0,93541,,mamadot123,Contributor,
67816,1,0,0,93542,,firefist,Contributor,
67817,1,0,0,93543,,picciano,Contributor,
67818,1,0,0,93544,,JIA777,Contributor,
67819,1,0,0,93545,,Michellewilliams8313,Contributor,
67820,1,0,0,93546,,maggiemae03,Contributor,
67821,1,0,0,93547,,darth,Contributor,
67822,1,0,0,93548,,sweetminime2,Contributor,
67823,1,0,0,93549,,Smurfynymom1,Contributor,
67824,1,0,0,93550,,whitewash,Contributor,
67825,1,0,0,93551,,mhswildcat25,Contributor,
67826,1,0,0,93552,,rollinsb,Contributor,
67827,1,0,0,93553,,sandi60,Contributor,
67828,1,0,0,93554,,silver_wolf,Contributor,
67829,1,0,0,93555,,Shamera,Contributor,
67830,1,0,4,93556,,d68790,Contributor,
67831,1,0,0,93557,,Le5Mra,Contributor,
67832,1,0,0,93558,,missim0228,Contributor,
67833,1,0,0,93559,,jarved,Contributor,
67834,1,0,0,93560,,aaliahcross,Contributor,
67835,1,0,0,93561,,urlilgurl,Contributor,
67836,1,0,0,93562,,NicLyn5,Contributor,
67837,1,0,0,93564,,TROYUN,Contributor,
67838,1,0,0,93565,,sillysharky,Contributor,
67839,1,0,0,93566,,MSEV2013,Contributor,
67840,1,0,0,93567,,elnasum,Contributor,
67841,1,0,0,93568,,Jim1945,Contributor,
67842,1,0,0,93569,,619David,Contributor,
67843,1,0,0,93570,,Zankenbauer,Contributor,
67844,1,0,0,93571,,Joelleyount,Contributor,
67845,1,0,0,93572,,lilssht910,Contributor,
67846,1,0,0,93573,,shril25,Contributor,
67847,1,0,0,93574,,vegerie,Contributor,
67848,1,0,0,93575,,64convertible,Contributor,
67849,1,0,0,93576,,JuneMaroon,Contributor,
67850,1,0,0,93577,,ahm3dsami,Contributor,
67851,1,0,0,93578,,Khaleelfs,Contributor,
67852,1,0,0,93579,,Mama_Chocs,Contributor,
67853,1,0,0,93580,,Shirls2311,Contributor,
67854,1,0,17,93581,,Lululexi,Contributor,
67855,1,0,0,93582,,sparklywhites,Contributor,
67856,1,0,0,93583,,quest4answers,Contributor,
67857,1,0,0,93584,,diamondsdeeds,Contributor,
67858,1,0,0,93585,,reneshaa,Contributor,
67859,1,0,0,93586,,omar_floyd1327,Contributor,
67860,1,0,0,93587,,Trebor15,Contributor,
67861,1,0,0,93588,,Horseluv,Contributor,
67862,1,0,0,93589,,Elainesummey,Contributor,
67863,1,0,0,93590,,Bigal1327,Contributor,
67864,1,0,0,93591,,SLHaggerty,Contributor,
67865,1,0,0,93592,,SusanGraffius,Contributor,
67866,1,0,21,93593,,sophiawhispers,Contributor,
67867,1,0,0,93594,,SJ5512,Contributor,
67868,1,0,0,93595,,skross,Contributor,
67869,1,0,0,93596,,donnalee10,Contributor,
67870,1,0,0,93597,,rusty205,Contributor,
67871,1,0,0,93598,,RonaldBrackin,Contributor,
67872,1,0,0,93599,,Brian_K,Contributor,
67873,1,0,0,93600,,willowbranch,Contributor,
67874,1,0,0,93601,,opc_1234567,Contributor,
67875,1,0,0,93602,,sepamaran,Contributor,
67876,1,0,0,93603,,maddieba,Contributor,
67877,1,0,0,93604,,vikings72,Contributor,
67878,1,0,0,93605,,lucia218,Contributor,
67879,1,0,0,93606,,baondemand,Contributor,
67880,1,0,0,93607,,kishan007,Contributor,
67881,1,0,0,93608,,glenere,Contributor,
67882,1,0,0,93609,,cdwhelpley,Contributor,
67883,1,0,3,93610,,ma2glenn,Contributor,
67884,1,0,0,93611,,AlexWood,Contributor,
67885,1,0,0,93612,,LARALEWIS,Contributor,
67886,1,0,0,93613,,wdweiler,Contributor,
67887,1,0,0,93614,,psb902,Contributor,
67888,1,0,0,93615,,CarT3508,Contributor,
67889,1,0,0,93616,,hlattanzi1234,Contributor,
67890,1,0,0,93617,,Missdaisy33,Contributor,
67891,1,0,0,93618,,verogorm,Contributor,
67892,1,0,0,93619,,qcurious,Contributor,
67893,1,1,15,93620,,olajuwon,Contributor,
67894,1,0,0,93621,,thornt,Contributor,
67895,1,0,0,93622,,thalamus1234,Contributor,
67896,1,0,0,93623,,suziecruzie,Contributor,
67897,1,0,0,93624,,arderringer,Contributor,
67898,1,0,0,93625,,gts2013,Contributor,
67899,1,0,0,93626,,aenigma333,Contributor,
67900,1,0,0,93627,,mamaof2boys89,Contributor,
67901,1,0,0,93628,,MariaFernanda87,Contributor,
67902,1,0,0,93629,,rperez1089,Contributor,
67903,1,0,0,93630,,veades,Contributor,
67904,1,0,0,93631,,nutrisystem,Contributor,
67905,1,0,0,93632,,12A34,Contributor,
67906,1,0,0,93633,,cinderley,Contributor,
67907,1,0,0,93634,,divinelyhealthy,Contributor,
67908,1,0,2,93635,,Devlin1963,Contributor,
